iter	Passed	Remaining
0	148	148299
1	149	74622
2	150	50080
3	152	37988
4	153	30612
5	155	25690
6	156	22212
7	157	19584
8	159	17508
9	160	15840
10	161	14478
11	162	13343
12	163	12404
13	164	11605
14	166	10922
15	167	10310
16	168	9762
17	171	9340
18	172	8897
19	173	8504
20	174	8141
21	175	7807
22	176	7504
23	177	7224
24	178	6967
25	179	6742
26	181	6533
27	182	6339
28	183	6158
29	185	5990
30	186	5827
31	187	5674
32	188	5528
33	189	5392
34	190	5261
35	191	5139
36	193	5044
37	197	5009
38	201	4966
39	202	4867
40	203	4768
41	205	4676
42	206	4601
43	210	4568
44	212	4508
45	214	4445
46	216	4388
47	218	4331
48	221	4307
49	223	4251
50	224	4183
51	225	4116
52	226	4052
53	227	3991
54	229	3934
55	230	3880
56	231	3827
57	232	3779
58	233	3728
59	234	3677
60	236	3639
61	237	3596
62	240	3571
63	241	3533
64	242	3494
65	243	3452
66	245	3412
67	246	3372
68	247	3333
69	247	3294
70	249	3262
71	250	3228
72	251	3193
73	252	3160
74	254	3134
75	256	3115
76	257	3083
77	258	3053
78	259	3024
79	260	2995
80	261	2967
81	262	2941
82	263	2915
83	264	2889
84	266	2863
85	267	2840
86	268	2821
87	270	2798
88	271	2775
89	272	2751
90	273	2729
91	274	2707
92	275	2685
93	276	2663
94	278	2652
95	279	2632
96	280	2613
97	282	2596
98	283	2580
99	284	2561
100	285	2541
101	286	2523
102	287	2505
103	288	2487
104	289	2469
105	290	2453
106	292	2444
107	294	2432
108	297	2432
109	299	2419
110	300	2407
111	301	2393
112	302	2377
113	303	2361
114	308	2374
115	311	2377
116	312	2361
117	314	2347
118	315	2332
119	316	2317
120	317	2304
121	318	2290
122	319	2278
123	320	2264
124	322	2260
125	324	2249
126	325	2236
127	326	2226
128	328	2215
129	329	2202
130	330	2190
131	331	2178
132	332	2166
133	333	2154
134	334	2142
135	335	2133
136	336	2122
137	338	2111
138	340	2108
139	341	2098
140	342	2087
141	343	2074
142	344	2064
143	345	2054
144	346	2044
145	347	2034
146	349	2025
147	350	2017
148	351	2008
149	352	1998
150	353	1988
151	354	1980
152	356	1970
153	357	1961
154	358	1952
155	359	1943
156	360	1934
157	361	1925
158	362	1916
159	363	1910
160	364	1900
161	365	1893
162	367	1888
163	369	1884
164	370	1877
165	372	1869
166	373	1862
167	374	1854
168	375	1846
169	376	1840
170	378	1833
171	379	1825
172	380	1818
173	381	1811
174	382	1803
175	383	1796
176	384	1789
177	385	1781
178	386	1774
179	387	1767
180	389	1760
181	390	1755
182	391	1748
183	392	1741
184	394	1736
185	396	1734
186	397	1727
187	398	1722
188	400	1716
189	401	1710
190	402	1704
191	403	1698
192	404	1692
193	406	1687
194	407	1682
195	411	1686
196	412	1680
197	413	1675
198	414	1670
199	416	1665
200	417	1660
201	419	1658
202	421	1654
203	422	1649
204	423	1644
205	424	1637
206	425	1631
207	427	1626
208	428	1620
209	429	1614
210	430	1608
211	431	1603
212	452	1673
213	454	1669
214	455	1663
215	456	1657
216	457	1651
217	458	1645
218	459	1639
219	460	1633
220	461	1628
221	463	1622
222	464	1618
223	465	1614
224	473	1630
225	474	1626
226	476	1621
227	477	1616
228	478	1611
229	480	1607
230	486	1618
231	487	1614
232	489	1610
233	491	1607
234	492	1604
235	494	1600
236	495	1596
237	501	1606
238	503	1603
239	504	1598
240	506	1593
241	507	1590
242	509	1586
243	510	1583
244	513	1583
245	515	1579
246	516	1574
247	518	1571
248	524	1583
249	526	1578
250	527	1574
251	531	1577
252	532	1573
253	534	1568
254	543	1587
255	545	1583
256	546	1579
257	547	1573
258	548	1568
259	549	1563
260	550	1559
261	552	1555
262	553	1551
263	555	1547
264	556	1543
265	557	1539
266	559	1535
267	560	1530
268	561	1525
269	562	1522
270	564	1519
271	571	1530
272	573	1526
273	574	1522
274	575	1518
275	578	1517
276	579	1513
277	581	1510
278	585	1513
279	586	1509
280	588	1506
281	590	1502
282	591	1498
283	593	1495
284	594	1491
285	598	1493
286	599	1490
287	601	1486
288	602	1483
289	614	1505
290	616	1501
291	617	1497
292	619	1494
293	620	1491
294	622	1487
295	623	1483
296	629	1489
297	630	1484
298	631	1480
299	632	1475
300	633	1471
301	635	1467
302	636	1464
303	638	1461
304	639	1457
305	640	1453
306	642	1450
307	643	1446
308	645	1443
309	646	1439
310	649	1438
311	650	1434
312	652	1431
313	653	1428
314	657	1428
315	658	1424
316	659	1421
317	679	1458
318	681	1455
319	683	1452
320	685	1450
321	687	1447
322	688	1443
323	689	1439
324	690	1434
325	692	1431
326	693	1427
327	695	1424
328	696	1420
329	697	1416
330	698	1412
331	700	1408
332	701	1404
333	703	1401
334	704	1397
335	705	1393
336	707	1391
337	708	1387
338	709	1384
339	711	1381
340	714	1380
341	715	1376
342	716	1372
343	717	1368
344	718	1364
345	719	1360
346	721	1356
347	722	1353
348	723	1349
349	724	1346
350	726	1342
351	727	1338
352	728	1334
353	729	1330
354	730	1326
355	731	1322
356	732	1318
357	733	1315
358	734	1311
359	735	1308
360	737	1305
361	740	1304
362	742	1302
363	743	1299
364	745	1296
365	746	1293
366	748	1290
367	749	1287
368	751	1284
369	753	1282
370	756	1282
371	757	1279
372	758	1275
373	759	1271
374	760	1267
375	761	1264
376	762	1260
377	764	1258
378	766	1255
379	767	1252
380	768	1248
381	769	1245
382	770	1241
383	771	1237
384	772	1234
385	773	1230
386	774	1227
387	775	1223
388	776	1220
389	778	1217
390	779	1214
391	781	1212
392	784	1212
393	786	1209
394	788	1206
395	789	1204
396	791	1202
397	793	1200
398	795	1197
399	799	1199
400	800	1196
401	802	1193
402	803	1190
403	804	1187
404	806	1184
405	807	1181
406	808	1178
407	809	1175
408	811	1172
409	814	1171
410	815	1168
411	816	1165
412	817	1161
413	818	1158
414	819	1155
415	821	1152
416	822	1150
417	823	1147
418	827	1147
419	829	1145
420	830	1142
421	832	1139
422	833	1137
423	835	1135
424	837	1133
425	839	1130
426	840	1127
427	841	1124
428	842	1122
429	844	1119
430	845	1116
431	847	1114
432	853	1117
433	856	1117
434	858	1114
435	859	1111
436	860	1109
437	862	1106
438	872	1114
439	873	1112
440	875	1109
441	877	1107
442	888	1116
443	889	1113
444	890	1110
445	891	1107
446	916	1133
447	917	1131
448	919	1128
449	921	1125
450	922	1122
451	923	1119
452	924	1116
453	926	1114
454	929	1112
455	930	1110
456	933	1109
457	934	1106
458	936	1103
459	937	1100
460	944	1103
461	945	1101
462	947	1098
463	952	1100
464	956	1100
465	957	1097
466	971	1109
467	973	1106
468	990	1121
469	995	1122
470	996	1119
471	997	1116
472	999	1113
473	1004	1114
474	1011	1118
475	1012	1115
476	1016	1114
477	1018	1112
478	1021	1110
479	1023	1108
480	1024	1105
481	1025	1102
482	1027	1099
483	1029	1097
484	1030	1094
485	1032	1092
486	1035	1090
487	1048	1099
488	1049	1096
489	1050	1093
490	1052	1090
491	1056	1091
492	1060	1091
493	1062	1088
494	1064	1085
495	1065	1082
496	1075	1088
497	1077	1085
498	1078	1082
499	1079	1079
500	1081	1077
501	1083	1074
502	1085	1072
503	1086	1069
504	1088	1066
505	1089	1063
506	1091	1061
507	1092	1058
508	1094	1055
509	1095	1052
510	1096	1049
511	1098	1046
512	1099	1043
513	1101	1041
514	1102	1038
515	1103	1035
516	1115	1042
517	1134	1055
518	1136	1053
519	1139	1052
520	1151	1058
521	1152	1055
522	1154	1052
523	1155	1049
524	1159	1048
525	1160	1046
526	1162	1043
527	1163	1040
528	1164	1037
529	1166	1034
530	1168	1031
531	1169	1028
532	1170	1025
533	1172	1023
534	1174	1020
535	1177	1018
536	1178	1016
537	1179	1013
538	1181	1010
539	1183	1007
540	1184	1005
541	1188	1003
542	1189	1001
543	1191	998
544	1192	995
545	1193	992
546	1195	989
547	1196	987
548	1198	984
549	1201	983
550	1203	980
551	1205	978
552	1206	975
553	1217	980
554	1219	977
555	1220	974
556	1221	971
557	1223	969
558	1225	966
559	1226	963
560	1228	960
561	1230	958
562	1231	956
563	1233	953
564	1234	950
565	1235	947
566	1237	945
567	1239	942
568	1240	939
569	1241	936
570	1243	933
571	1244	931
572	1245	928
573	1252	929
574	1255	927
575	1258	926
576	1260	923
577	1262	921
578	1263	918
579	1264	916
580	1266	913
581	1267	910
582	1269	908
583	1272	906
584	1276	905
585	1277	902
586	1279	900
587	1280	897
588	1282	894
589	1283	892
590	1285	889
591	1288	888
592	1291	886
593	1293	883
594	1294	881
595	1296	878
596	1297	875
597	1298	873
598	1300	870
599	1302	868
600	1304	866
601	1305	863
602	1307	860
603	1308	857
604	1309	855
605	1311	852
606	1312	849
607	1314	847
608	1315	844
609	1316	841
610	1318	839
611	1319	836
612	1328	838
613	1333	838
614	1334	835
615	1336	833
616	1337	830
617	1339	827
618	1341	825
619	1343	823
620	1344	820
621	1370	833
622	1372	830
623	1373	827
624	1374	824
625	1378	823
626	1380	821
627	1381	818
628	1382	815
629	1384	812
630	1385	810
631	1386	807
632	1395	808
633	1396	806
634	1398	803
635	1399	800
636	1400	798
637	1401	795
638	1403	792
639	1404	789
640	1410	789
641	1411	787
642	1412	784
643	1414	781
644	1415	779
645	1416	776
646	1418	773
647	1427	775
648	1429	772
649	1430	770
650	1432	767
651	1435	765
652	1440	765
653	1442	763
654	1444	760
655	1445	757
656	1446	755
657	1448	752
658	1450	750
659	1452	748
660	1454	745
661	1455	743
662	1457	740
663	1460	738
664	1461	736
665	1466	735
666	1468	732
667	1470	730
668	1473	729
669	1474	726
670	1479	725
671	1487	725
672	1488	723
673	1489	720
674	1491	717
675	1493	715
676	1495	713
677	1497	711
678	1498	708
679	1500	706
680	1504	704
681	1507	702
682	1508	700
683	1510	697
684	1511	695
685	1513	692
686	1515	690
687	1519	688
688	1522	687
689	1529	687
690	1531	684
691	1532	682
692	1534	679
693	1536	677
694	1543	677
695	1544	674
696	1546	672
697	1547	669
698	1548	666
699	1557	667
700	1560	665
701	1561	662
702	1562	660
703	1564	657
704	1565	655
705	1569	653
706	1570	651
707	1572	648
708	1578	648
709	1580	645
710	1581	643
711	1592	644
712	1596	642
713	1598	640
714	1599	637
715	1600	635
716	1602	632
717	1604	630
718	1605	627
719	1606	624
720	1608	622
721	1609	619
722	1610	617
723	1612	614
724	1613	612
725	1614	609
726	1616	607
727	1617	604
728	1625	604
729	1627	601
730	1628	599
731	1630	596
732	1632	594
733	1633	592
734	1637	590
735	1639	587
736	1640	585
737	1641	582
738	1643	580
739	1644	577
740	1646	575
741	1647	572
742	1651	571
743	1653	568
744	1655	566
745	1657	564
746	1658	561
747	1660	559
748	1661	556
749	1663	554
750	1664	551
751	1665	549
752	1667	546
753	1668	544
754	1669	541
755	1671	539
756	1672	536
757	1674	534
758	1676	532
759	1678	529
760	1681	528
761	1682	525
762	1685	523
763	1686	521
764	1689	518
765	1690	516
766	1691	513
767	1693	511
768	1694	508
769	1695	506
770	1697	504
771	1698	501
772	1700	499
773	1701	496
774	1704	494
775	1706	492
776	1711	491
777	1714	489
778	1715	486
779	1717	484
780	1718	481
781	1719	479
782	1721	477
783	1723	474
784	1725	472
785	1726	470
786	1727	467
787	1729	465
788	1738	464
789	1740	462
790	1741	460
791	1742	457
792	1744	455
793	1745	452
794	1746	450
795	1747	447
796	1748	445
797	1749	442
798	1751	440
799	1752	438
800	1753	435
801	1754	433
802	1755	430
803	1756	428
804	1757	425
805	1758	423
806	1759	420
807	1762	418
808	1763	416
809	1764	413
810	1765	411
811	1768	409
812	1769	406
813	1770	404
814	1771	402
815	1772	399
816	1773	397
817	1775	395
818	1777	392
819	1778	390
820	1779	388
821	1781	385
822	1782	383
823	1784	381
824	1785	378
825	1786	376
826	1788	374
827	1789	371
828	1790	369
829	1791	367
830	1793	364
831	1794	362
832	1795	359
833	1796	357
834	1797	355
835	1798	352
836	1800	350
837	1801	348
838	1802	345
839	1803	343
840	1805	341
841	1806	338
842	1807	336
843	1819	336
844	1834	336
845	1836	334
846	1838	332
847	1840	329
848	1842	327
849	1843	325
850	1844	322
851	1845	320
852	1846	318
853	1848	316
854	1849	313
855	1851	311
856	1853	309
857	1854	306
858	1856	304
859	1858	302
860	1859	300
861	1861	297
862	1862	295
863	1863	293
864	1864	291
865	1865	288
866	1866	286
867	1868	284
868	1869	281
869	1870	279
870	1871	277
871	1872	274
872	1873	272
873	1874	270
874	1877	268
875	1878	265
876	1880	263
877	1881	261
878	1883	259
879	1884	256
880	1886	254
881	1887	252
882	1888	250
883	1890	248
884	1891	245
885	1892	243
886	1893	241
887	1894	238
888	1895	236
889	1896	234
890	1898	232
891	1899	229
892	1900	227
893	1901	225
894	1902	223
895	1904	221
896	1905	218
897	1906	216
898	1907	214
899	1908	212
900	1910	209
901	1912	207
902	1914	205
903	1915	203
904	1916	201
905	1918	199
906	1919	196
907	1921	194
908	1922	192
909	1924	190
910	1926	188
911	1927	185
912	1928	183
913	1929	181
914	1931	179
915	1933	177
916	1934	175
917	1935	172
918	1937	170
919	1938	168
920	1940	166
921	1941	164
922	1942	162
923	1943	159
924	1944	157
925	1946	155
926	1947	153
927	1948	151
928	1949	148
929	1950	146
930	1951	144
931	1953	142
932	1954	140
933	1955	138
934	1956	136
935	1958	133
936	1960	131
937	1961	129
938	1962	127
939	1964	125
940	1965	123
941	1967	121
942	1969	119
943	1970	116
944	1971	114
945	1972	112
946	1974	110
947	1975	108
948	1976	106
949	1977	104
950	1978	101
951	1979	99
952	1980	97
953	1981	95
954	1982	93
955	1983	91
956	1985	89
957	1986	87
958	1988	84
959	1989	82
960	1990	80
961	1991	78
962	1992	76
963	1993	74
964	1994	72
965	1998	70
966	1999	68
967	2000	66
968	2001	64
969	2003	61
970	2005	59
971	2006	57
972	2008	55
973	2014	53
974	2015	51
975	2016	49
976	2017	47
977	2018	45
978	2019	43
979	2021	41
980	2022	39
981	2023	37
982	2024	35
983	2025	32
984	2026	30
985	2027	28
986	2029	26
987	2031	24
988	2033	22
989	2034	20
990	2036	18
991	2037	16
992	2061	14
993	2063	12
994	2064	10
995	2066	8
996	2067	6
997	2068	4
998	2070	2
999	2072	0
